Fecha,variable,value,Localidad
2020-07-20,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-21,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-22,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-23,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-24,Fallecidos,0.0008203445447087777,San Cristóbal
2020-07-25,Fallecidos,0.0008203445447087777,San Cristóbal
2020-07-26,Fallecidos,0.0008203445447087777,San Cristóbal
2020-07-27,Fallecidos,0.0008203445447087777,San Cristóbal
2020-07-28,Fallecidos,0.0008203445447087777,San Cristóbal
2020-07-29,Fallecidos,0.0008203445447087777,San Cristóbal
2020-07-30,Fallecidos,0.0008203445447087777,San Cristóbal
2020-07-31,Fallecidos,0.0008203445447087777,San Cristóbal
2020-08-01,Fallecidos,0.0008203445447087777,San Cristóbal
2020-08-02,Fallecidos,0.0008203445447087777,San Cristóbal
2020-03-06,Graves,0.0,Bosa
2020-03-07,Graves,0.0,Bosa
2020-03-08,Graves,0.0,Bosa
2020-03-09,Graves,0.0,Bosa
2020-03-10,Graves,0.0,Bosa
2020-03-11,Graves,0.0,Bosa
2020-03-12,Graves,0.0,Bosa
2020-03-13,Graves,0.0,Bosa
2020-03-14,Graves,0.0,Bosa
2020-03-15,Graves,0.0,Bosa
2020-03-16,Graves,0.0,Bosa
2020-03-17,Graves,0.0,Bosa
2020-03-18,Graves,0.0,Bosa
2020-03-19,Graves,0.0,Bosa
2020-03-20,Graves,0.0,Bosa
2020-03-21,Graves,0.00022696323195642307,Bosa
2020-03-22,Graves,0.00045392646391284613,Bosa
2020-03-23,Graves,0.00045392646391284613,Bosa
2020-03-24,Graves,0.00045392646391284613,Bosa
2020-03-25,Graves,0.00045392646391284613,Bosa
2020-03-26,Graves,0.00022696323195642307,Bosa
2020-03-27,Graves,0.00022696323195642307,Bosa
2020-03-28,Graves,0.00045392646391284613,Bosa
2020-03-29,Graves,0.00045392646391284613,Bosa
2020-03-30,Graves,0.0006808896958692692,Bosa
2020-03-31,Graves,0.0006808896958692692,Bosa
2020-04-01,Graves,0.0009078529278256923,Bosa
2020-04-02,Graves,0.0015887426236949613,Bosa
2020-04-03,Graves,0.0015887426236949613,Bosa
2020-04-04,Graves,0.0013617793917385383,Bosa
2020-04-05,Graves,0.0015887426236949613,Bosa
2020-04-06,Graves,0.0011348161597821154,Bosa
2020-04-07,Graves,0.0009078529278256923,Bosa
2020-04-08,Graves,0.0011348161597821154,Bosa
2020-04-09,Graves,0.0011348161597821154,Bosa
2020-04-10,Graves,0.0011348161597821154,Bosa
2020-04-11,Graves,0.0013617793917385383,Bosa
2020-04-12,Graves,0.0018157058556513845,Bosa
2020-04-13,Graves,0.0013617793917385383,Bosa
2020-04-14,Graves,0.0013617793917385383,Bosa
2020-04-15,Graves,0.0011348161597821154,Bosa
2020-04-16,Graves,0.0011348161597821154,Bosa
2020-04-17,Graves,0.0011348161597821154,Bosa
2020-04-18,Graves,0.0011348161597821154,Bosa
2020-04-19,Graves,0.0011348161597821154,Bosa
2020-04-20,Graves,0.0013617793917385383,Bosa
2020-04-21,Graves,0.0011348161597821154,Bosa
2020-04-22,Graves,0.0013617793917385383,Bosa
2020-04-23,Graves,0.0013617793917385383,Bosa
2020-04-24,Graves,0.0015887426236949613,Bosa
2020-04-25,Graves,0.0020426690876078077,Bosa
2020-04-26,Graves,0.0024965955515206537,Bosa
2020-04-27,Graves,0.0024965955515206537,Bosa
2020-04-28,Graves,0.0029505220154334997,Bosa
2020-04-29,Graves,0.0031774852473899226,Bosa
2020-04-30,Graves,0.003404448479346346,Bosa
2020-05-01,Graves,0.003404448479346346,Bosa
2020-05-02,Graves,0.003858374943259192,Bosa
2020-05-03,Graves,0.003631411711302769,Bosa
2020-05-04,Graves,0.003404448479346346,Bosa
2020-05-05,Graves,0.003404448479346346,Bosa
2020-05-06,Graves,0.003404448479346346,Bosa
2020-05-07,Graves,0.0031774852473899226,Bosa
2020-05-08,Graves,0.0029505220154334997,Bosa
2020-05-09,Graves,0.0027235587834770767,Bosa
2020-05-10,Graves,0.0027235587834770767,Bosa
2020-05-11,Graves,0.0027235587834770767,Bosa
2020-05-12,Graves,0.0027235587834770767,Bosa
2020-05-13,Graves,0.0024965955515206537,Bosa
2020-05-14,Graves,0.0024965955515206537,Bosa
2020-05-15,Graves,0.0020426690876078077,Bosa
2020-05-16,Graves,0.0018157058556513845,Bosa
2020-05-17,Graves,0.0018157058556513845,Bosa
2020-05-18,Graves,0.0018157058556513845,Bosa
