replicate,time,obs
7,28,15.0
7,29,17.0
7,30,22.0
7,31,28.0
7,32,28.0
7,33,32.0
7,34,46.0
7,35,55.0
7,36,50.0
7,37,53.0
7,38,60.0
7,39,56.0
7,40,73.0
7,41,74.0
7,42,94.0
7,43,81.0
7,44,80.0
7,45,117.0
7,46,103.0
7,47,90.0
7,48,113.0
7,49,113.0
7,50,109.0
7,51,128.0
7,52,135.0
7,53,136.0
7,54,122.0
7,55,123.0
7,56,156.0
7,57,154.0
7,58,167.0
7,59,175.0
7,60,153.0
7,61,144.0
7,62,159.0
7,63,185.0
7,64,178.0
7,65,183.0
7,66,167.0
7,67,180.0
7,68,217.0
7,69,207.0
7,70,194.0
7,71,205.0
7,72,204.0
7,73,220.0
7,74,220.0
7,75,229.0
7,76,237.0
7,77,229.0
7,78,242.0
7,79,232.0
7,80,225.0
7,81,269.0
7,82,267.0
7,83,250.0
7,84,281.0
7,85,277.0
7,86,295.0
7,87,326.0
7,88,331.0
7,89,308.0
7,90,351.0
7,91,325.0
7,92,384.0
7,93,382.0
7,94,395.0
7,95,418.0
7,96,410.0
7,97,443.0
7,98,428.0
7,99,422.0
7,100,461.0
7,101,506.0
7,102,528.0
7,103,545.0
7,104,555.0
7,105,601.0
7,106,557.0
7,107,656.0
7,108,640.0
7,109,767.0
7,110,697.0
7,111,755.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,1.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,1.0
8,21,0.0
8,22,1.0
8,23,6.0
8,24,5.0
8,25,6.0
8,26,4.0
8,27,10.0
8,28,19.0
8,29,16.0
8,30,22.0
8,31,24.0
8,32,25.0
8,33,36.0
8,34,51.0
8,35,43.0
8,36,39.0
8,37,56.0
8,38,49.0
8,39,52.0
8,40,75.0
8,41,81.0
8,42,81.0
8,43,93.0
8,44,95.0
8,45,99.0
8,46,125.0
8,47,110.0
8,48,105.0
8,49,138.0
8,50,135.0
8,51,132.0
8,52,118.0
8,53,133.0
8,54,124.0
8,55,167.0
8,56,151.0
8,57,147.0
8,58,166.0
8,59,158.0
8,60,160.0
8,61,156.0
8,62,162.0
8,63,185.0
8,64,211.0
8,65,175.0
8,66,189.0
8,67,212.0
8,68,198.0
8,69,205.0
8,70,198.0
8,71,222.0
8,72,196.0
8,73,194.0
8,74,231.0
8,75,216.0
8,76,235.0
8,77,224.0
8,78,243.0
