date,time,obs_mean,obs_ci,obs_lower,obs_upper,barranquilla
2020-05-29,77,65.2,3.2538361360093107,61.94616386399069,68.45383613600931,98.0
2020-05-30,78,66.8,5.387683138418592,61.4123168615814,72.18768313841859,111.0
2020-05-31,79,77.5,4.122994057720676,73.37700594227933,81.62299405772067,120.0
2020-06-01,80,87.4,6.525357798619168,80.87464220138084,93.92535779861917,135.0
2020-06-02,81,92.6,4.241939933568131,88.35806006643186,96.84193993356813,152.0
2020-06-03,82,97.8,6.451943707131983,91.34805629286801,104.25194370713199,181.0
2020-06-04,83,99.3,5.0509470003158805,94.24905299968411,104.35094700031588,196.0
2020-06-05,84,116.2,5.645344418190976,110.55465558180903,121.84534441819098,216.0
2020-06-06,85,124.4,6.65938663842249,117.74061336157752,131.0593866384225,235.0
2020-06-07,86,141.0,5.431711332535999,135.568288667464,146.431711332536,259.0
2020-06-08,87,147.0,6.326884857495037,140.67311514250497,153.32688485749503,279.0
2020-06-09,88,167.3,4.102444344534121,163.1975556554659,171.40244434453413,308.0
2020-06-10,89,176.0,4.054879529653131,171.94512047034686,180.05487952965314,331.0
2020-06-11,90,191.9,4.977396749305805,186.9226032506942,196.8773967493058,360.0
2020-06-12,91,209.0,5.155955003682634,203.84404499631736,214.15595500368264,388.0
2020-06-13,92,229.0,7.473744978255547,221.52625502174445,236.47374497825555,414.0
2020-06-14,93,251.2,7.946102038106482,243.2538979618935,259.14610203810645,447.0
2020-06-15,94,266.1,9.290689446967862,256.80931055303216,275.3906894469679,476.0
2020-06-16,95,296.3,9.658047918704897,286.64195208129513,305.9580479187049,517.0
2020-06-17,96,316.8,8.061296769130882,308.73870323086913,324.8612967691309,550.0
2020-06-18,97,339.4,10.667875064885228,328.73212493511477,350.0678750648852,591.0
2020-06-19,98,364.0,10.753239511886639,353.24676048811335,374.75323951188665,622.0
2020-06-20,99,399.8,8.99381618669183,390.80618381330817,408.79381618669186,656.0
2020-06-21,100,422.4,12.278426218371798,410.1215737816282,434.6784262183718,688.0
2020-06-22,101,454.1,11.185574209668452,442.91442579033156,465.2855742096685,725.0
2020-06-23,102,483.8,9.728394399899706,474.0716056001003,493.5283943998997,764.0
2020-06-24,103,516.6,9.055115151117626,507.5448848488824,525.6551151511177,797.0
2020-06-25,104,571.1,5.863316331224164,565.2366836687759,576.9633163312242,834.0
2020-06-26,105,612.7,10.976174998604932,601.7238250013951,623.676174998605,868.0
2020-06-27,106,640.2,18.612364750348085,621.587635249652,658.8123647503481,896.0
2020-06-28,107,681.4,12.897931865225525,668.5020681347745,694.2979318652255,923.0
2020-06-29,108,734.8,15.302567418573915,719.497432581426,750.1025674185739,951.0
2020-06-30,109,783.4,12.4585716035186,770.9414283964813,795.8585716035186,974.0
2020-07-01,110,825.4,21.52647575428918,803.8735242457108,846.9264757542892,1002.0
2020-07-02,111,868.8,16.254534185881795,852.5454658141182,885.0545341858817,1046.0
2020-07-03,112,921.1,18.130688635570355,902.9693113644297,939.2306886355703,1080.0
2020-07-04,113,968.3,18.224943829817416,950.0750561701825,986.5249438298174,1105.0
2020-07-05,114,1004.5,18.214823194310725,986.2851768056893,1022.7148231943107,1131.0
2020-07-06,115,1067.8,15.484744285909278,1052.3152557140907,1083.2847442859093,1167.0
2020-07-07,116,1093.4,25.46069422462789,1067.9393057753723,1118.8606942246279,1190.0
2020-07-08,117,1132.7,16.01225235874079,1116.6877476412592,1148.712252358741,1214.0
2020-07-09,118,1159.2,16.96685408671861,1142.2331459132815,1176.1668540867186,1241.0
2020-07-10,119,1203.9,28.30073042166933,1175.5992695783307,1232.2007304216695,1266.0
2020-07-11,120,1240.4,18.936480940238077,1221.4635190597621,1259.336480940238,1286.0
2020-07-12,121,1270.2,17.63520823806739,1252.5647917619326,1287.8352082380675,1302.0
2020-07-13,122,1272.4,22.421577607296058,1249.978422392704,1294.8215776072961,1325.0
2020-07-14,123,1302.3,15.816726386961367,1286.4832736130386,1318.1167263869613,1347.0
2020-07-15,124,1347.9,17.101379078893025,1330.7986209211072,1365.001379078893,1368.0
2020-07-16,125,1371.4,21.640388314445747,1349.7596116855543,1393.0403883144459,1385.0
2020-07-17,126,1414.3,13.508509969645061,1400.791490030355,1427.808509969645,1401.0
2020-07-18,127,1427.2,18.972152055051634,1408.2278479449485,1446.1721520550516,1427.0
2020-07-19,128,1442.7,22.254503220696705,1420.4454967793033,1464.9545032206968,1444.0
2020-07-20,129,1455.8,38.30363567078195,1417.496364329218,1494.1036356707818,1454.0
2020-07-21,130,1475.9,19.881106166408344,1456.0188938335918,1495.7811061664083,1466.0
2020-07-22,131,1475.2,27.68502601768689,1447.5149739823132,1502.8850260176869,1479.0
2020-07-23,132,1487.3,13.299289665241522,1474.0007103347584,1500.5992896652415,1495.0
2020-07-24,133,1543.7,22.76647784792369,1520.9335221520764,1566.4664778479237,1503.0
2020-07-25,134,1548.8,22.64084224581762,1526.1591577541824,1571.4408422458175,1514.0
2020-07-26,135,1565.4,23.765676897576473,1541.6343231024237,1589.1656768975765,1523.0
2020-07-27,136,1583.8,27.456515030134472,1556.3434849698656,1611.2565150301343,1535.0
2020-07-28,137,1565.2,18.329510893638158,1546.870489106362,1583.5295108936382,1545.0
2020-07-29,138,1610.5,16.615552473511073,1593.8844475264889,1627.1155524735111,1554.0
2020-07-30,139,1595.6,26.987143131498748,1568.6128568685012,1622.5871431314986,1566.0
2020-07-31,140,1605.6,25.38514034627344,1580.2148596537265,1630.9851403462733,1571.0
2020-08-01,141,1635.3,20.88490137874728,1614.4150986212526,1656.1849013787473,1579.0
2020-08-02,142,1658.7,21.712784105222436,1636.9872158947776,1680.4127841052225,1584.0
2020-08-03,143,1663.8,22.639145425567634,1641.1608545744323,1686.4391454255676,1587.0
2020-08-04,144,1668.2,16.381660770507978,1651.818339229492,1684.581660770508,1595.0
2020-08-05,145,1655.5,18.439110824548997,1637.060889175451,1673.939110824549,1600.0
2020-08-06,146,1694.9,20.778680959098434,1674.1213190409017,1715.6786809590985,1605.0
2020-08-07,147,1697.7,24.167761700248533,1673.5322382997515,1721.8677617002486,1612.0
2020-08-08,148,1697.8,24.06381968017546,1673.7361803198246,1721.8638196801753,1618.0
2020-08-09,149,1720.6,24.38479473770489,1696.215205262295,1744.9847947377048,1623.0
2020-08-10,150,1737.9,19.280762184104653,1718.6192378158955,1757.1807621841047,1626.0
2020-08-11,151,1727.4,35.22027834075137,1692.1797216592488,1762.6202783407514,1631.0
2020-08-12,152,1730.5,23.1848200338066,1707.3151799661935,1753.6848200338065,1634.0
2020-08-13,153,1746.4,19.318084542728347,1727.0819154572716,1765.7180845427285,1638.0
2020-08-14,154,1756.3,26.932782136274003,1729.367217863726,1783.232782136274,1642.0
2020-08-15,155,1759.6,23.546445132970707,1736.053554867029,1783.1464451329707,1643.0
2020-08-16,156,1737.8,21.50076225625501,1716.299237743745,1759.300762256255,1645.0
2020-08-17,157,1767.6,26.20132222617782,1741.398677773822,1793.8013222261777,1646.0
2020-08-18,158,1749.8,18.55034127987946,1731.2496587201206,1768.3503412798793,
2020-08-19,159,1751.7,29.48878460703323,1722.2112153929668,1781.1887846070333,
2020-08-20,160,1781.9,22.367112607576328,1759.5328873924238,1804.2671126075763,
