date,time,obs_mean,obs_ci,obs_lower,obs_upper,cali
2020-05-24,72,104.4,7.100504094780876,97.29949590521913,111.50050409478088,94.0
2020-05-25,73,104.1,7.763431097137399,96.3365689028626,111.8634310971374,98.0
2020-05-26,74,105.0,6.009246208968309,98.9907537910317,111.0092462089683,102.0
2020-05-27,75,107.9,7.198565301502794,100.70143469849721,115.0985653015028,106.0
2020-05-28,76,109.4,6.130759691914207,103.2692403080858,115.53075969191421,111.0
2020-05-29,77,114.1,5.967226357362355,108.13277364263764,120.06722635736234,117.0
2020-05-30,78,115.4,9.859403957643687,105.54059604235631,125.2594039576437,122.0
2020-05-31,79,117.3,8.105257651672769,109.19474234832722,125.40525765167277,126.0
2020-06-01,80,127.6,5.641260001099044,121.95873999890095,133.24126000109905,129.0
2020-06-02,81,128.5,6.48431276235192,122.01568723764808,134.98431276235192,133.0
2020-06-03,82,138.4,5.789137966917008,132.610862033083,144.189137966917,136.0
2020-06-04,83,139.2,8.231066613750613,130.96893338624938,147.4310666137506,138.0
2020-06-05,84,141.0,5.494995541399465,135.50500445860052,146.49499554139948,141.0
2020-06-06,85,151.1,4.583635064007605,146.51636493599239,155.6836350640076,147.0
2020-06-07,86,157.0,9.866414951744124,147.13358504825587,166.86641495174413,151.0
2020-06-08,87,155.1,7.166474056326444,147.93352594367354,162.26647405632644,159.0
2020-06-09,88,160.5,4.522888457612015,155.97711154238797,165.02288845761203,162.0
2020-06-10,89,169.8,6.416119200887715,163.3838807991123,176.21611920088773,163.0
2020-06-11,90,180.1,5.196403217611197,174.9035967823888,185.29640321761119,165.0
2020-06-12,91,175.6,5.769195992510567,169.83080400748943,181.36919599251056,170.0
2020-06-13,92,186.9,7.214557394601556,179.68544260539846,194.11455739460155,173.0
2020-06-14,93,192.0,9.47716244452948,182.52283755547052,201.47716244452948,181.0
2020-06-15,94,193.0,6.104385308939794,186.89561469106022,199.10438530893978,183.0
2020-06-16,95,205.0,9.893632699873185,195.1063673001268,214.8936326998732,190.0
2020-06-17,96,212.8,10.554195071155354,202.24580492884465,223.35419507115537,196.0
2020-06-18,97,215.4,6.87510337376828,208.52489662623174,222.27510337376827,200.0
2020-06-19,98,230.1,5.2332367039911345,224.86676329600886,235.33323670399113,205.0
2020-06-20,99,233.0,10.386150778801547,222.61384922119845,243.38615077880155,216.0
2020-06-21,100,229.8,8.470284623316974,221.32971537668303,238.270284623317,224.0
2020-06-22,101,239.8,9.783522146957097,230.01647785304291,249.5835221469571,228.0
2020-06-23,102,253.3,8.5346691558607,244.7653308441393,261.8346691558607,235.0
2020-06-24,103,252.4,6.996952936814711,245.40304706318528,259.3969529368147,243.0
2020-06-25,104,255.7,8.062488052704326,247.63751194729565,263.7624880527043,249.0
2020-06-26,105,266.9,13.51249075485345,253.38750924514653,280.4124907548534,257.0
2020-06-27,106,272.1,5.284372280602493,266.8156277193975,277.3843722806025,263.0
2020-06-28,107,286.4,10.025548483748905,276.3744515162511,296.42554848374886,265.0
2020-06-29,108,292.3,11.038994229548269,281.26100577045173,303.3389942295483,274.0
2020-06-30,109,297.8,9.104194725509775,288.6958052744902,306.9041947255098,282.0
2020-07-01,110,305.9,10.63631883689089,295.2636811631091,316.53631883689087,293.0
2020-07-02,111,322.6,5.194554687362527,317.4054453126375,327.79455468736256,299.0
2020-07-03,112,312.0,10.500186665007437,301.49981333499255,322.50018666500745,311.0
2020-07-04,113,334.8,8.755739237779983,326.04426076222,343.55573923778,319.0
2020-07-05,114,338.6,9.445491961777323,329.1545080382227,348.0454919617774,331.0
2020-07-06,115,342.8,10.448105359346258,332.35189464065377,353.24810535934625,341.0
2020-07-07,116,361.2,8.2590223150201,352.9409776849799,369.4590223150201,361.0
2020-07-08,117,378.2,6.587466402191361,371.61253359780864,384.78746640219134,374.0
2020-07-09,118,382.7,12.306084413817416,370.3939155861826,395.0060844138174,382.0
2020-07-10,119,401.5,17.98560335379383,383.5143966462062,419.4856033537938,394.0
2020-07-11,120,401.2,9.85784528180474,391.3421547181953,411.0578452818047,402.0
2020-07-12,121,424.0,15.726481106719326,408.27351889328065,439.72648110671935,416.0
2020-07-13,122,455.9,6.998325399693843,448.90167460030614,462.8983253996938,425.0
2020-07-14,123,451.6,11.04299553563253,440.5570044643675,462.64299553563256,444.0
2020-07-15,124,475.3,14.23140870047656,461.06859129952346,489.53140870047656,461.0
2020-07-16,125,478.7,11.204790475506448,467.49520952449353,489.90479047550645,472.0
2020-07-17,126,517.2,12.76500315706972,504.43499684293033,529.9650031570698,489.0
2020-07-18,127,518.4,12.891973564974448,505.50802643502556,531.2919735649745,507.0
2020-07-19,128,546.7,16.473447289501976,530.226552710498,563.1734472895021,525.0
2020-07-20,129,572.3,5.295991087605793,567.0040089123942,577.5959910876057,549.0
2020-07-21,130,578.5,10.739834263153226,567.7601657368468,589.2398342631532,573.0
2020-07-22,131,607.3,13.889888178095603,593.4101118219044,621.1898881780955,595.0
2020-07-23,132,634.8,11.251834054944108,623.5481659450559,646.051834054944,623.0
2020-07-24,133,648.0,10.731783076450995,637.2682169235491,658.7317830764509,644.0
2020-07-25,134,668.3,24.177297152494113,644.1227028475058,692.4772971524941,668.0
2020-07-26,135,691.6,13.500402601404152,678.0995973985958,705.1004026014042,684.0
2020-07-27,136,727.0,14.5357490347075,712.4642509652925,741.5357490347075,711.0
2020-07-28,137,747.4,16.762756050244246,730.6372439497558,764.1627560502442,736.0
2020-07-29,138,750.7,23.834841086107538,726.8651589138925,774.5348410861076,757.0
2020-07-30,139,789.1,14.772862092363818,774.3271379076363,803.8728620923638,779.0
2020-07-31,140,811.3,10.35299384719222,800.9470061528077,821.6529938471922,799.0
2020-08-01,141,833.9,15.351818081256692,818.5481819187432,849.2518180812567,821.0
2020-08-02,142,870.2,16.31822127561702,853.881778724383,886.5182212756171,843.0
2020-08-03,143,904.5,16.874791850568112,887.6252081494318,921.3747918505682,860.0
2020-08-04,144,919.3,16.87661297772749,902.4233870222724,936.1766129777275,877.0
2020-08-05,145,950.6,18.838852788851025,931.761147211149,969.438852788851,893.0
2020-08-06,146,972.3,10.463720256199514,961.8362797438004,982.7637202561995,915.0
2020-08-07,147,1010.3,18.4011539203388,991.8988460796611,1028.7011539203388,934.0
2020-08-08,148,1028.7,13.247193272538905,1015.4528067274612,1041.947193272539,958.0
2020-08-09,149,1054.1,20.117373546265924,1033.982626453734,1074.217373546266,974.0
2020-08-10,150,1076.4,13.256324920580363,1063.1436750794198,1089.6563249205803,993.0
2020-08-11,151,1089.8,26.36735484647635,1063.4326451535237,1116.1673548464762,1011.0
2020-08-12,152,1131.7,13.258787938571157,1118.4412120614288,1144.9587879385713,1022.0
2020-08-13,153,1148.8,18.321125554943393,1130.4788744450566,1167.1211255549433,1039.0
2020-08-14,154,1172.9,20.32634345867451,1152.5736565413256,1193.2263434586746,1047.0
2020-08-15,155,1220.1,28.217806264839222,1191.8821937351606,1248.3178062648392,1061.0
2020-08-16,156,1237.9,17.926126140357265,1219.973873859643,1255.8261261403572,1072.0
2020-08-17,157,1271.8,18.82171579851316,1252.9782842014868,1290.6217157985132,1074.0
2020-08-18,158,1286.5,15.042920195228053,1271.4570798047719,1301.5429201952281,
2020-08-19,159,1289.5,16.947484297086692,1272.5525157029133,1306.4474842970867,
2020-08-20,160,1351.6,20.778218749450108,1330.8217812505497,1372.37821874945,
