date,time,obs_mean,obs_ci,obs_lower,obs_upper,bogota
2020-06-08,87,318.6,8.293371232496469,310.3066287675035,326.8933712324965,381.0
2020-06-09,88,331.4,7.4644870151940115,323.93551298480594,338.864487015194,395.0
2020-06-10,89,331.2,10.363193021458201,320.8368069785418,341.5631930214582,406.0
2020-06-11,90,332.3,16.615090056933184,315.6849099430668,348.9150900569332,420.0
2020-06-12,91,337.0,9.218253196783,327.781746803217,346.218253196783,428.0
2020-06-13,92,344.2,7.640481241387874,336.5595187586121,351.84048124138786,438.0
2020-06-14,93,356.9,14.178402110252057,342.7215978897479,371.07840211025206,457.0
2020-06-15,94,379.7,10.074666922533963,369.62533307746605,389.7746669225339,475.0
2020-06-16,95,362.1,11.593694079110419,350.5063059208896,373.69369407911046,489.0
2020-06-17,96,389.6,11.392305052095471,378.20769494790454,400.9923050520955,513.0
2020-06-18,97,389.2,13.275437529512914,375.9245624704871,402.4754375295129,522.0
2020-06-19,98,410.5,4.522888457612015,405.977111542388,415.022888457612,539.0
2020-06-20,99,433.9,9.82916061523058,424.0708393847694,443.72916061523057,551.0
2020-06-21,100,445.7,7.606466827640807,438.0935331723592,453.3064668276408,573.0
2020-06-22,101,453.1,11.666363889404442,441.43363611059556,464.7663638894045,593.0
2020-06-23,102,486.2,8.560511760403113,477.63948823959686,494.7605117604031,618.0
2020-06-24,103,499.3,12.723555540806979,486.57644445919306,512.023555540807,642.0
2020-06-25,104,533.7,15.525006460546157,518.1749935394539,549.2250064605462,663.0
2020-06-26,105,564.1,16.422998946599247,547.6770010534008,580.5229989465993,688.0
2020-06-27,106,592.1,10.889736011492655,581.2102639885073,602.9897360114927,719.0
2020-06-28,107,633.0,18.18474437543734,614.8152556245626,651.1847443754374,752.0
2020-06-29,108,663.0,18.38851902682758,644.6114809731724,681.3885190268276,777.0
2020-06-30,109,715.1,11.597007131152415,703.5029928688476,726.6970071311524,809.0
2020-07-01,110,756.9,13.774352340491365,743.1256476595086,770.6743523404914,837.0
2020-07-02,111,803.3,19.34759275982415,783.9524072401758,822.6475927598241,875.0
2020-07-03,112,838.8,16.665302685519993,822.1346973144799,855.46530268552,921.0
2020-07-04,113,905.2,11.713521485872638,893.4864785141274,916.9135214858727,955.0
2020-07-05,114,949.0,14.27708989955586,934.7229101004441,963.2770898995559,992.0
2020-07-06,115,1013.4,18.250536605809703,995.1494633941903,1031.6505366058097,1034.0
2020-07-07,116,1066.3,25.13550034512939,1041.1644996548705,1091.4355003451294,1083.0
2020-07-08,117,1103.6,15.916358578519143,1087.6836414214808,1119.516358578519,1129.0
2020-07-09,118,1163.8,18.864529085031513,1144.9354709149684,1182.6645290850315,1197.0
2020-07-10,119,1248.2,18.688576874657954,1229.5114231253422,1266.888576874658,1260.0
2020-07-11,120,1278.7,16.325870561780157,1262.3741294382198,1295.0258705617803,1331.0
2020-07-12,121,1368.5,28.410198309761935,1340.0898016902381,1396.9101983097619,1390.0
2020-07-13,122,1425.5,21.050162754715224,1404.4498372452847,1446.5501627547153,1463.0
2020-07-14,123,1487.1,17.240091368667393,1469.8599086313325,1504.3400913686673,1535.0
2020-07-15,124,1595.5,28.315386771153243,1567.1846132288467,1623.8153867711533,1620.0
2020-07-16,125,1628.3,20.511847152316633,1607.7881528476833,1648.8118471523167,1696.0
2020-07-17,126,1707.4,17.15912557212633,1690.2408744278737,1724.5591255721265,1795.0
2020-07-18,127,1806.4,25.442581755788858,1780.9574182442113,1831.8425817557888,1877.0
2020-07-19,128,1866.7,30.078241996499727,1836.6217580035004,1896.7782419964997,1942.0
2020-07-20,129,1968.4,18.30937962903167,1950.0906203709685,1986.7093796290317,2033.0
2020-07-21,130,2071.7,22.530709389630854,2049.169290610369,2094.2307093896306,2145.0
2020-07-22,131,2135.8,26.525687353959366,2109.274312646041,2162.3256873539594,2241.0
2020-07-23,132,2245.6,26.53784992044382,2219.062150079556,2272.137849920444,2350.0
2020-07-24,133,2346.8,23.057798541925028,2323.742201458075,2369.857798541925,2455.0
2020-07-25,134,2411.1,30.793153238991287,2380.3068467610087,2441.893153238991,2553.0
2020-07-26,135,2523.6,30.49951459285868,2493.100485407141,2554.0995145928587,2664.0
2020-07-27,136,2639.3,37.698346722369664,2601.6016532776307,2676.9983467223697,2766.0
2020-07-28,137,2793.5,29.190513664545197,2764.309486335455,2822.690513664545,2863.0
2020-07-29,138,2906.3,20.763145079683852,2885.5368549203163,2927.063145079684,2973.0
2020-07-30,139,2995.3,26.460798506469903,2968.8392014935303,3021.76079850647,3099.0
2020-07-31,140,3098.7,29.71071674665557,3068.989283253344,3128.4107167466555,3226.0
2020-08-01,141,3223.8,27.378050069352998,3196.4219499306473,3251.178050069353,3311.0
2020-08-02,142,3331.7,18.734257860934868,3312.965742139065,3350.434257860935,3417.0
2020-08-03,143,3436.0,27.618618647571783,3408.3813813524284,3463.6186186475716,3533.0
2020-08-04,144,3558.1,27.64843833564565,3530.4515616643544,3585.7484383356455,3635.0
2020-08-05,145,3727.5,40.174980174232815,3687.3250198257674,3767.6749801742326,3747.0
2020-08-06,146,3896.3,24.866599638873023,3871.433400361127,3921.1665996388733,3842.0
2020-08-07,147,4026.5,22.466166028052047,4004.033833971948,4048.966166028052,3953.0
2020-08-08,148,4173.5,23.131736986227384,4150.368263013773,4196.631736986227,4067.0
2020-08-09,149,4319.1,48.36829687305517,4270.731703126945,4367.468296873056,4164.0
2020-08-10,150,4444.6,25.11891220574649,4419.481087794254,4469.718912205747,4250.0
2020-08-11,151,4618.6,41.56882300955849,4577.031176990442,4660.168823009559,4347.0
2020-08-12,152,4774.2,42.39204068690254,4731.807959313097,4816.592040686903,4425.0
2020-08-13,153,4950.8,32.32372196390756,4918.4762780360925,4983.123721963908,4497.0
2020-08-14,154,5142.2,50.678641749754895,5091.521358250245,5192.878641749755,4562.0
2020-08-15,155,5308.3,53.07370936348806,5255.226290636512,5361.373709363488,4619.0
2020-08-16,156,5486.7,47.481419709187286,5439.2185802908125,5534.181419709187,4664.0
2020-08-17,157,5716.1,46.898872464058236,5669.201127535942,5762.998872464059,4670.0
2020-08-18,158,5890.0,28.688401558818153,5861.311598441182,5918.688401558818,
2020-08-19,159,6121.4,58.95867656587959,6062.44132343412,6180.358676565879,
2020-08-20,160,6309.9,37.44826081942925,6272.45173918057,6347.348260819429,
